"Latest: Time (s)","Latest: Temperature (°C)"
0,21.4839106105
0.5,21.486834197
1,21.486834197
1.5,21.486834197
2,21.486834197
2.5,21.4882959773
3,21.4897577489
3.5,21.4882959773
4,21.4897577489
4.5,21.4897577489
5,21.4882959773
5.5,21.4912195119
6,21.4926812663
6.5,21.4912195119
7,21.495604749
7.5,21.495604749
8,21.4941430119
8.5,21.495604749
9,21.495604749
9.5,21.495604749
10,21.4926812663
10.5,21.4912195119
11,21.4926812663
11.5,21.4912195119
12,21.4912195119
12.5,21.4882959773
13,21.4882959773
13.5,21.486834197
14,21.486834197
14.5,21.486834197
15,21.4853724081
15.5,21.4809869894
16,21.475139643
16.5,21.4707540422
17,21.4649064527
17.5,21.4619826058
18,21.4619826058
18.5,21.4546728361
19,21.4444387922
19.5,21.431280106
20,21.4268937195
20.5,21.4195828997
21,21.4137340856
21.5,21.4049606001
22,21.3961867968
22.5,21.393262125
23,21.3888750509
23.5,21.3815630835
24,21.3727884296
24.5,21.3625509286
25,21.3537755801
25.5,21.3479251692
26,21.3362239175
26.5,21.3201337586
27,21.3025796149
27.5,21.2981908757
28,21.2806351034
28.5,21.2777090143
29,21.2733198123
29.5,21.2572253699
30,21.239666535
30.5,21.2308866223
31,21.2133258031
31.5,21.2074719015
32,21.1986907717
32.5,21.1869820797
33,21.1738090905
33.5,21.1606353465
34,21.1474608456
34.5,21.1240376346
35,21.116717387
35.5,21.1064686438
36,21.093291007
36.5,21.0786482868
37,21.0596113267
37.5,21.0435018679
38,21.0259265885
38.5,21.0142089653
39,20.9980962237
39.5,20.9937016363
40,20.9775874013
40.5,20.9614719882
41,20.93509876
41.5,20.9233763043
42,20.9057914377
42.5,20.9028604883
43,20.8764801591
43.5,20.8603572603
44,20.8442331529
44.5,20.823709807
45,20.8119812954
45.5,20.8046506478
46,20.7899885939
46.5,20.7679936108
47,20.7474628921
47.5,20.7430631917
48,20.7210633056
48.5,20.7049285851
49,20.6799906492
49.5,20.6653198752
50,20.6506480601
50.5,20.6418444701
