"Latest: Time (s)","Latest: Temperature (°C)"
0,27.9349229854
0.5,28.0598227615
1,28.2007364996
1.5,28.3068133011
2,28.4187302025
2.5,28.5277686686
3,28.6295643168
3.5,28.7241125337
4,28.789582765
4.5,28.8565198399
5,28.8929038472
5.5,28.9292915453
6,28.9715059565
6.5,28.9889754744
7,29.0137254602
7.5,29.0326531158
8,29.0457574879
8.5,29.076336312
9,29.1141996334
9.5,29.1491541872
10,29.20596321
10.5,29.2511261476
11,29.3094102746
11.5,29.3793653946
12,29.4347576836
12.5,29.5018249303
13,29.5645317465
13.5,29.6199581287
14,29.6783130716
14.5,29.7147909173
15,29.7702462065
15.5,29.7979779475
16,29.8461501655
16.5,29.8768095889
17,29.9147736356
17.5,29.9600454087
18,29.9877963938
18.5,30.0272369767
19,30.0520729532
19.5,30.0739889991
20,30.0900619333
20.5,30.1075971745
21,30.1382867012
21.5,30.1485173545
22,30.1704415551
22.5,30.2069860694
23,30.2318393428
23.5,30.2523085816
24,30.2640060377
24.5,30.2874025892
25,30.3283518438
25.5,30.3488290118
26,30.3590682342
26.5,30.3985663863
27,30.423438877
27.5,30.446850613
28,30.4702646229
28.5,30.5112446468
29,30.5288096723
29.5,30.5610156038
30,30.5976186029
30.5,30.6166544256
31,30.6503370057
31.5,30.6928133438
32,30.7206469315
32.5,30.7426232155
33,30.779255087
33.5,30.79830601
34,30.8276182797
34.5,30.859866221
35,30.8891865962
35.5,30.9111794325
36,30.9522386219
36.5,30.9815713433
37,31.0065072742
37.5,31.0285119574
38,31.0651914378
38.5,31.0945395553
39,31.1150856486
39.5,31.1459085303
40,31.1767359259
40.5,31.1958218254
41,31.2222513394
41.5,31.2619019238
42,31.2839333178
42.5,31.3133121879
43,31.345633825
43.5,31.3632659742
44,31.3970652211
44.5,31.4294002434
45,31.4646807689
45.5,31.482323374
46,31.517613294
46.5,31.5426141376
47,31.5661472493
47.5,31.5911542814
48,31.6294065419
48.5,31.6500070395
49,31.6779683761
49.5,31.710349746
50,31.7397921153
50.5,31.7559873596
51,31.7824916523
51.5,31.8207822003
52,31.8458225472
52.5,31.8723395105
53,31.9018072322
53.5,31.9253847815
54,31.9548609523
54.5,31.9858160188
55,32.0094043456
55.5,32.0344702874
56,32.0683885423
56.5,32.0964127724
57,32.1082137533
57.5,32.1377196017
58,32.1672303205
58.5,32.1982218425
59,32.2233141875
59.5,32.2646505397
60,32.2912290495
60.5,32.3133808955
61,32.3399668308
61.5,32.3842857856
62,32.4034942007
62.5,32.4389615342
63,32.4744362239
63.5,32.4966116587
64,32.5187899927
64.5,32.5483656318
65,32.573509009
65.5,32.5971768058
66,32.6326847858
66.5,32.662280556
67,32.6741203429
67.5,32.7096447929
68,32.7348125809
68.5,32.7599842297
69,32.7821977259
69.5,32.8207082958
70,32.8503380325
70.5,32.8592280125
71,32.885900894
71.5,32.9170248512
72,32.9496373929
72.5,32.973359795
73,32.9956027635
73.5,33.0252649146
74,33.0504821261
74.5,33.0697686035
75,33.0949929599
75.5,33.1320949977
76,33.1469382871
76.5,33.172175136
77,33.2078106353
77.5,33.2315722103
78,33.2553374599
