"Latest: Time (s)","Latest: Temperature (°C)"
0,21.5672193472
0.5,21.5569899459
1,21.5350683956
1.5,21.5189913696
2,21.4985281972
2.5,21.4882959773
3,21.486834197
3.5,21.4839106105
4,21.4795251658
4.5,21.4722159178
5,21.4707540422
5.5,21.4692921578
6,21.4692921578
6.5,21.4678302648
7,21.4707540422
7.5,21.4663683631
8,21.4707540422
8.5,21.4766014926
9,21.4766014926
9.5,21.4766014926
10,21.4839106105
10.5,21.4809869894
11,21.4853724081
11.5,21.486834197
12,21.486834197
12.5,21.4882959773
13,21.486834197
13.5,21.4897577489
14,21.4912195119
14.5,21.4970664774
15,21.4999899084
15.5,21.5058366668
16,21.5102216451
16.5,21.5102216451
17,21.5160681625
17.5,21.5219145424
18,21.5262992372
18.5,21.532145377
19,21.532145377
19.5,21.5336068906
20,21.5336068906
20.5,21.536529892
21,21.5394528592
21.5,21.5423757923
22,21.5423757923
22.5,21.5467601279
23,21.548221556
23.5,21.5467601279
24,21.5511443867
24.5,21.5511443867
25,21.5511443867
25.5,21.5526057893
26,21.5526057893
26.5,21.5540671834
27,21.5555285689
27.5,21.5569899459
28,21.5569899459
28.5,21.5569899459
29,21.5569899459
29.5,21.5569899459
30,21.5569899459
30.5,21.5599126745
31,21.5599126745
31.5,21.5599126745
32,21.561374026
32.5,21.5628353691
33,21.561374026
33.5,21.5642967036
34,21.5628353691
34.5,21.5642967036
35,21.5628353691
35.5,21.5642967036
36,21.561374026
36.5,21.5628353691
37,21.5672193472
37.5,21.5657580296
38,21.5642967036
38.5,21.5657580296
39,21.5672193472
39.5,21.5642967036
40,21.5628353691
40.5,21.561374026
41,21.5642967036
41.5,21.5657580296
42,21.5686806563
42.5,21.5686806563
43,21.5657580296
43.5,21.5657580296
44,21.5672193472
44.5,21.5686806563
45,21.5672193472
45.5,21.5672193472
46,21.5701419569
46.5,21.5657580296
47,21.5701419569
47.5,21.571603249
48,21.5701419569
48.5,21.5730645326
49,21.5730645326
49.5,21.5730645326
50,21.5745258078
50.5,21.5745258078
51,21.5730645326
51.5,21.5774483328
52,21.5774483328
52.5,21.5745258078
53,21.5803708238
53.5,21.5803708238
54,21.5803708238
54.5,21.5818320567
55,21.5803708238
55.5,21.5847544971
56,21.5832932811
56.5,21.5818320567
57,21.5847544971
57.5,21.5876769036
58,21.5862157046
58.5,21.5891380943
59,21.5935216155
59.5,21.5920604502
60,21.5993661925
60.5,21.5979050609
61,21.5993661925
61.5,21.6008273157
62,21.6008273157
62.5,21.6022884305
63,21.6037495369
63.5,21.6037495369
64,21.6037495369
64.5,21.6095938784
65,21.6110549428
65.5,21.6168991164
66,21.6139770463
66.5,21.6183601388
67,21.6256651254
67.5,21.6227431559
68,21.6315089642
68.5,21.6329699031
69,21.6315089642
69.5,21.6417353608
70,21.6431962413
70.5,21.6446571134
71,21.6446571134
71.5,21.6475788327
72,21.6490396799
72.5,21.6490396799
73,21.6490396799
73.5,21.6505005188
74,21.6505005188
74.5,21.6490396799
75,21.6505005188
75.5,21.6534221716
76,21.6548829855
76.5,21.6578045886
77,21.6636476951
77.5,21.6694906691
78,21.6694906691
78.5,21.6724121065
79,21.6738728128
79.5,21.6797155554
80,21.6797155554
80.5,21.6811762204
81,21.6870187981
81.5,21.692861244
82,21.6914006449
82.5,21.692861244
83,21.6987035585
83.5,21.7030852081
84,21.7074667839
84.5,21.7118482861
85,21.7162297146
85.5,21.7191506261
86,21.7206110696
86.5,21.7220715049
87,21.7206110696
87.5,21.7279131647
88,21.7352150561
88.5,21.7322943239
89,21.7395960934
89.5,21.7381357557
90,21.7410564229
90.5,21.7425167442
91,21.7425167442
91.5,21.7425167442
92,21.7425167442
92.5,21.7425167442
93,21.7439770575
93.5,21.7512785022
94,21.7556592718
94.5,21.7571195122
95,21.7571195122
95.5,21.7658807847
96,21.7644205928
96.5,21.7688011443
97,21.7688011443
97.5,21.7717214716
98,21.7775620297
98.5,21.783402459
99,21.7863226255
99.5,21.7877826967
100,21.7892427599
100.5,21.7907028151
101,21.7907028151
101.5,21.7965429556
102,21.7980029707
102.5,21.8023829681
103,21.8053029264
103.5,21.8126026824
104,21.8169824404
104.5,21.8199022393
105,21.8242818779
105.5,21.8272015972
106,21.8315811167
106.5,21.8315811167
107,21.8330409406
107.5,21.837420365
108,21.8388801573
108.5,21.837420365
109,21.8417997181
109.5,21.8432594866
110,21.8476387448
110.5,21.8490984817
111,21.8563970481
111.5,21.8563970481
112,21.8578567377
112.5,21.8578567377
113,21.8593164194
113.5,21.8593164194
114,21.8593164194
114.5,21.8607760933
115,21.8622357593
115.5,21.8636954175
116,21.8709935903
116.5,21.8768319873
117,21.8739128045
117.5,21.8797511387
118,21.8826702589
118.5,21.8841298072
119,21.8885084053
119.5,21.8899679224
120,21.8958059126
120.5,21.9001843235
121,21.9001843235
121.5,21.9045626642
122,21.9074815191
122.5,21.9045626642
123,21.9074815191
123.5,21.910400343
124,21.9118597433
124.5,21.9133191358
125,21.9162378975
125.5,21.9191566283
126,21.920615982
126.5,21.922075328
127,21.9264533196
127.5,21.9264533196
128,21.9279126346
128.5,21.9279126346
129,21.929371942
129.5,21.929371942
130,21.929371942
130.5,21.929371942
131,21.929371942
131.5,21.9322905335
132,21.9322905335
132.5,21.9337498176
133,21.9381276238
133.5,21.9381276238
134,21.9454238133
134.5,21.9454238133
135,21.9483422353
135.5,21.9512606265
136,21.9512606265
136.5,21.9512606265
137,21.9512606265
137.5,21.9527198106
138,21.9527198106
138.5,21.9570973167
139,21.9585564701
139.5,21.9600156158
140,21.9629338843
140.5,21.9673112296
141,21.9673112296
141.5,21.9702294215
142,21.9731475829
142.5,21.971688506
143,21.9746066522
143.5,21.9731475829
144,21.9746066522
144.5,21.9746066522
145,21.9746066522
145.5,21.9775247677
146,21.9789838141
146.5,21.9775247677
147,21.9804428528
147.5,21.9789838141
148,21.9819018839
148.5,21.9848199233
149,21.9848199233
149.5,21.9921148886
150,21.9964917766
150.5,22.0008685963
151,21.9979507241
151.5,21.999409664
152,22.0008685963
152.5,22.0023275211
153,22.0081631444
153.5,22.0110809107
154,22.0154575034
154.5,22.0169163526
155,22.0183751942
155.5,22.0198340282
156,22.0198340282
156.5,22.0198340282
157,22.0198340282
157.5,22.0212928548
158,22.0227516738
158.5,22.0242104852
159,22.0271280856
159.5,22.0344219548
160,22.0373394499
160.5,22.0417156364
161,22.0417156364
161.5,22.0431743502
162,22.0431743502
162.5,22.0446330565
163,22.0475504468
163.5,22.0475504468
164,22.0504678071
164.5,22.056302438
165,22.0548437914
165.5,22.0635955588
166,22.0621369495
166.5,22.0665127549
167,22.0708884934
167.5,22.072347058
168,22.0767227073
168.5,22.0752641649
169,22.0781812422
169.5,22.0825568025
170,22.0781812422
170.5,22.0825568025
171,22.0840153077
171.5,22.0854738056
172,22.0883907791
172.5,22.0898492548
173,22.0883907791
173.5,22.0913077231
174,22.0913077231
174.5,22.0913077231
175,22.092766184
175.5,22.0942246375
176,22.0942246375
176.5,22.0956830836
177,22.0971415223
177.5,22.0985999537
178,22.1029752036
178.5,22.1044336054
179,22.1088087669
179.5,22.1102671394
180,22.1117255045
180.5,22.1117255045
181,22.1131838622
181.5,22.1131838622
182,22.1131838622
182.5,22.1146422127
183,22.1161005557
183.5,22.1190172199
184,22.1219338547
184.5,22.1219338547
185,22.1248504602
185.5,22.1277670364
186,22.1336001011
186.5,22.1336001011
187,22.1365165896
187.5,22.1365165896
188,22.1365165896
188.5,22.1365165896
189,22.1379748229
189.5,22.1379748229
190,22.1423494791
190.5,22.1394330489
191,22.1408912677
191.5,22.1481822521
192,22.1481822521
192.5,22.151098595
193,22.1540149088
193.5,22.1569311935
194,22.1598474493
194.5,22.1598474493
195,22.1613055663
195.5,22.162763676
196,22.1671379618
196.5,22.1671379618
197,22.1685960426
197.5,22.1758863383
198,22.1729702417
198.5,22.1802604291
199,22.1817184449
199.5,22.184634455
200,22.1919243544
200.5,22.1962982078
201,22.1948402638
201.5,22.1977561446
202,22.202129912
202.5,22.2035878201
203,22.2050457211
203.5,22.2065036149
204,22.2065036149
204.5,22.2065036149
205,22.2094193811
205.5,22.2108772535
206,22.2137929768
206.5,22.2181665083
207,22.2210821604
207.5,22.226913379
208,22.226913379
208.5,22.226913379
209,22.2283711659
209.5,22.2283711659
210,22.2283711659
210.5,22.2283711659
211,22.2298289456
211.5,22.2327444839
212,22.2298289456
212.5,22.2356599937
213,22.2356599937
213.5,22.237117738
214,22.2400332053
214.5,22.2429486443
215,22.2473217497
215.5,22.2487794374
216,22.2516947916
216.5,22.2575254152
217,22.2589830535
217.5,22.2589830535
218,22.2633559261
218.5,22.2648135362
219,22.2662711393
219.5,22.2691863245
220,22.2735590495
220.5,22.2750166105
221,22.2779317115
221.5,22.2750166105
222,22.2764741645
222.5,22.2750166105
223,22.2823043104
223.5,22.2808467844
224,22.2852193413
224.5,22.2837618293
225,22.2881343443
225.5,22.2939642666
226,22.2954217297
226.5,22.2968791859
227,22.2968791859
227.5,22.2983366351
228,22.2983366351
228.5,22.2997940773
229,22.2997940773
229.5,22.3012515126
230,22.3027089409
230.5,22.3085385847
231,22.3070811841
231.5,22.3085385847
232,22.3114533649
232.5,22.3129107446
233,22.3158254833
233.5,22.3187401942
234,22.3187401942
234.5,22.3216548775
235,22.3201975393
235.5,22.3216548775
236,22.3216548775
236.5,22.3231122087
237,22.3231122087
237.5,22.3245695331
238,22.3231122087
238.5,22.3274841611
239,22.3274841611
239.5,22.3333133343
240,22.3318560513
240.5,22.3333133343
241,22.3362278795
241.5,22.3391423972
242,22.3435141222
242.5,22.3449713501
243,22.3449713501
243.5,22.3464285712
244,22.3464285712
244.5,22.3508001932
245,22.3508001932
245.5,22.3493429927
246,22.3522573868
246.5,22.3580860928
247,22.3595432522
247.5,22.3639146895
248,22.3668289468
248.5,22.3682860652
249,22.3726573797
249.5,22.3741144708
250,22.3770286328
250.5,22.3770286328
251,22.3843139188
251.5,22.3857709556
252,22.3872279857
252.5,22.3886850089
253,22.3901420254
253.5,22.3901420254
254,22.3915990351
254.5,22.3915990351
255,22.3915990351
255.5,22.3915990351
256,22.3930560381
256.5,22.3915990351
257,22.3930560381
257.5,22.3930560381
258,22.3945130343
258.5,22.3959700237
259,22.3959700237
259.5,22.4017979138
260,22.4003409514
260.5,22.4032548695
261,22.4061687605
261.5,22.407625696
262,22.4090826246
262.5,22.4105395466
263,22.4134533703
263.5,22.4134533703
264,22.4134533703
264.5,22.4134533703
265,22.4149102721
265.5,22.4192809371
266,22.4178240555
266.5,22.4221946802
267,22.4236515417
267.5,22.420737812
268,22.4280220859
268.5,22.4280220859
269,22.4280220859
269.5,22.4309357486
270,22.4338493846
270.5,22.4367629938
271,22.4411333575
271.5,22.4396765763
272,22.4440469
272.5,22.4469604159
273,22.4484171638
273.5,22.4484171638
274,22.4557008038
274.5,22.4557008038
275,22.4586142133
275.5,22.4571575118
276,22.4600709081
276.5,22.4615275962
277,22.4600709081
277.5,22.4629842778
278,22.4644409527
278.5,22.4688109378
279,22.4702675862
279.5,22.4717242281
280,22.476094114
280.5,22.4790073384
281,22.4790073384
281.5,22.4819205363
282,22.4833771254
282.5,22.4848337079
283,22.4833771254
283.5,22.4833771254
284,22.4833771254
284.5,22.4848337079
285,22.4862902839
285.5,22.4906599723
286,22.4906599723
286.5,22.4950296016
287,22.4993991719
287.5,22.5037686832
288,22.5052251739
288.5,22.5052251739
289,22.5081381357
289.5,22.5125075295
290,22.5110510714
290.5,22.513963981
291,22.5168768645
291.5,22.5212461409
292,22.5256153588
292.5,22.5256153588
293,22.5285281383
293.5,22.5285281383
294,22.5299845183
294.5,22.5314408918
295,22.5314408918
295.5,22.5328972588
296,22.5343536194
296.5,22.5387226622
297,22.5445479621
297.5,22.5489168692
298,22.5503731587
298.5,22.5532857183
299,22.5576545095
299.5,22.5605670048
300,22.5649356995
300.5,22.5693043366
301,22.573672916
301.5,22.573672916
302,22.5751290964
302.5,22.5765852703
303,22.5780414379
303.5,22.5780414379
304,22.579497599
304.5,22.5838660443
305,22.5867783092
305.5,22.5867783092
306,22.5911466588
306.5,22.5984271144
307,22.596971036
307.5,22.596971036
308,22.5998831865
308.5,22.5998831865
309,22.6013392522
309.5,22.5998831865
310,22.6027953116
310.5,22.6027953116
311,22.6027953116
311.5,22.6086194858
312,22.6071634518
312.5,22.6129875501
313,22.6158995614
313.5,22.6158995614
314,22.6217235082
314.5,22.6246354438
315,22.6290033
315.5,22.6304592395
316,22.6348270204
316.5,22.637738843
317,22.6406506404
317.5,22.6435624129
318,22.6435624129
318.5,22.6450182898
319,22.6450182898
319.5,22.6508417347
320,22.6522975803
320.5,22.6537534197
321,22.6537534197
321.5,22.659576715
322,22.6624883253
322.5,22.6639441211
323,22.6653999108
323.5,22.6683114714
324,22.6683114714
324.5,22.6668556942
325,22.6697672424
325.5,22.6712230072
326,22.6755902644
326.5,22.6755902644
327,22.6741345182
327.5,22.6814131875
328,22.6828689028
328.5,22.6872360117
329,22.6857803149
329.5,22.6872360117
330,22.6901473869
330.5,22.6916030652
331,22.6916030652
331.5,22.6930587374
332,22.6916030652
332.5,22.6945144034
333,22.6930587374
333.5,22.697425717
334,22.6945144034
334.5,22.6988813646
335,22.7032482705
335.5,22.7061595105
336,22.7076151212
336.5,22.7105263245
337,22.7134375032
337.5,22.7148930834
338,22.7148930834
338.5,22.7148930834
